"","schoolcode","num_apply"
"526","90301",2085
"527","90302",666
"528","90303",4884
"529","90401",3891
"530","90402",3934
"531","90403",7173
"532","90404",611
"533","90405",5279
"534","90501",6270
"535","90502",1142
"536","90503",949
"537","90504",944
"538","90505",483
"539","90506",374
"540","90507",178
"541","90601",4243
"542","90602",6450
"543","100101",2037
"544","100102",5418
"545","100103",27
"546","100104",2831
"547","100105",3952
"548","100106",1633
"549","100201",1447
"550","100202",3367
"551","100203",1619
"552","100204",1487
"553","100301",1541
"554","100302",1950
"555","100303",1415
"556","100304",1816
"557","100401",2446
"558","100402",1669
"559","100501",2759
"560","100502",2630
"561","100503",4856
"562","9010101",1263
"563","9010102",606
"564","9010103",230
"565","9010104",179
"566","9010105",67
"567","9010106",40
"568","9010107",123
"569","9010108",29
"570","9010109",66
"571","9010110",70
"572","9010111",97
"573","9010112",28
"574","9010113",187
"575","9010114",91
"576","9010115",105
"577","9010116",14
"578","9010117",96
"579","9010118",71
"580","9010119",10
"581","9010120",161
"582","9010201",1679
"583","9010202",92
"584","9010203",33
"585","9010204",29
"586","9010301",759
"587","9010501",5
"588","9020101",933
"589","9020102",47
"590","9020103",51
"591","9020301",91
"592","9020501",49
"593","9020901",71
"594","9021001",331
"595","9021002",425
"596","9021101",551
"597","9021201",43
"598","9021301",830
"599","9021401",163
"600","9021501",63
"601","9030101",2038
"602","9030301",192
"603","9030401",1175
"604","9030501",30
"605","9040101",2479
"606","9040102",35
"607","9040103",62
"608","9040301",1115
"609","9050101",3589
"610","9050103",100
"611","9050104",125
"612","9050105",63
"613","9050106",161
"614","9050107",64
"615","9051001",6
"616","9051801",143
"617","9060102",49
"618","9060103",32
"619","9060104",35
"620","9060201",28
"621","9060202",37
"622","9060501",4
"623","9060502",12
"624","9060901",64
"625","9070501",1173
"626","9070601",1761
"627","9070701",3
"628","9070901",355
"629","9071001",746
"630","9071002",141
"631","9080102",5
"632","9080103",151
"633","9080901",65
"634","9090101",1239
"635","9090401",2344
"636","9100101",376
"637","9100102",10
"638","9100201",12
"639","9100401",26
"640","9100501",19
