"","sssdistrict","jssdistrict","ssslong","ssslat","jsslong","jsslat","distance"
"72.82","Ho Municipal","Tema",0.526142239570618,6.71760702133179,-0.0500882156193256,5.69031476974487,81.379530021703
"72.83","Ho Municipal","Karaga",0.526142239570618,6.71760702133179,-0.535205662250519,9.93793296813965,234.200218669221
"72.84","Ho Municipal","Central Gonja (Buipe)",0.526142239570618,6.71760702133179,-1.4432520866394,8.9619083404541,205.445467255591
"72.85","Ho Municipal","Gushegu (Gushegu)",0.526142239570618,6.71760702133179,-0.187724083662033,9.93830871582031,228.030063245343
"72.86","Ho Municipal","Nanumba South (Wulensi)",0.526142239570618,6.71760702133179,0.1514682918787,8.59566402435303,132.412323682356
"72.87","Ho Municipal","Bole",0.526142239570618,6.71760702133179,-2.26667523384094,8.62969589233398,232.322490022246
"72.88","Ho Municipal","East Dagomba (Yendi)",0.526142239570618,6.71760702133179,-0.200845062732697,9.35213088989258,188.869612265328
"72.89","Ho Municipal","East Gonja (Salaga)",0.526142239570618,6.71760702133179,-0.533939599990845,8.72915744781494,156.888277460627
"72.90","Ho Municipal","East Mamprusi (Gambaga)",0.526142239570618,6.71760702133179,-0.41415736079216,10.4712734222412,267.410174037829
"72.91","Ho Municipal","Nanumba North (Bimbilla)",0.526142239570618,6.71760702133179,-0.141764163970947,8.81677436828613,152.211783174545
"72.92","Ho Municipal","Saboba/Chereponi (Saboba)",0.526142239570618,6.71760702133179,0.166294068098068,9.91628551483154,222.613456763429
"72.93","Ho Municipal","Savelugu/Nanton (Savelugu)",0.526142239570618,6.71760702133179,-0.815288662910461,9.81180095672607,232.743214788878
"72.94","Ho Municipal","Tamale",0.526142239570618,6.71760702133179,-0.784348249435425,9.38335132598877,204.939878994074
"72.95","Ho Municipal","Tolon Kunbungu (Tolon)",0.526142239570618,6.71760702133179,-1.10971987247467,9.52724552154541,224.108866245806
"72.96","Ho Municipal","West Gonja (Damongo)",0.526142239570618,6.71760702133179,-1.70040583610535,9.50565147399902,245.492611219549
"72.97","Ho Municipal","West Mamprusi (Walewale)",0.526142239570618,6.71760702133179,-1.11731052398682,10.3346328735352,274.054721640406
"72.98","Ho Municipal","Zabzugu Tatale (Zabzugu)",0.526142239570618,6.71760702133179,0.371232807636261,9.13971710205078,167.8758809019
"72.99","Ho Municipal","Bawku East (Bawku)",0.526142239570618,6.71760702133179,-0.188137739896774,11.0363521575928,302.646760516029
"72.100","Ho Municipal","Bawku West (Zebilla)",0.526142239570618,6.71760702133179,-0.478857457637787,10.8185272216797,291.771333402966
"72.101","Ho Municipal","Bolgatanga",0.526142239570618,6.71760702133179,-0.880232632160187,10.7424564361572,294.355879076005
"72.102","Ho Municipal","Bongo",0.526142239570618,6.71760702133179,-0.787704288959503,10.9241199493408,304.348616873271
"72.103","Ho Municipal","Builsa (Sandema)",0.526142239570618,6.71760702133179,-1.33749449253082,10.5570726394653,294.270320061796
"72.104","Ho Municipal","Kassena/Nankani (Navrongo)",0.526142239570618,6.71760702133179,-1.21744096279144,10.9094228744507,313.208861648026
"72.105","Ho Municipal","Wa West (Wechiau)",0.526142239570618,6.71760702133179,-2.64412522315979,9.91548728942871,309.184639768337
"72.106","Ho Municipal","Wa East (Funsi)",0.526142239570618,6.71760702133179,-1.83356428146362,9.95277690887451,275.546270706397
"72.107","Ho Municipal","Sisala west (Gwollu)",0.526142239570618,6.71760702133179,-2.28611850738525,10.7578830718994,338.569383896477
"72.108","Ho Municipal","Jirapa/Lambusie (Jirapa)",0.526142239570618,6.71760702133179,-2.58332252502441,10.6920347213745,346.772438377708
"72.109","Ho Municipal","Lawra",0.526142239570618,6.71760702133179,-2.80094122886658,10.5463981628418,348.329928722841
"72.110","Ho Municipal","Nadowli",0.526142239570618,6.71760702133179,-2.42762446403503,10.362509727478,322.432083437049
"72.111","Ho Municipal","Sisala/Tumu (Tumu)",0.526142239570618,6.71760702133179,-1.73106586933136,10.5741777420044,307.769353175238
"72.112","Ho Municipal","Wa Municipal",0.526142239570618,6.71760702133179,-2.28503036499023,10.0306215286255,298.636037134967
"72.113","Ho Municipal","Krachi East (Dambai)",0.526142239570618,6.71760702133179,0.217028766870499,7.74382829666138,74.080165805067
"72.114","Ho Municipal","Buem (Jasikan)",0.526142239570618,6.71760702133179,0.436103850603104,7.32201671600342,42.2621296625343
"72.115","Ho Municipal","Akatsi",0.526142239570618,6.71760702133179,0.842700481414795,6.20688915252686,41.4957414286961
"72.116","Ho Municipal","Ho Municipal",0.526142239570618,6.71760702133179,0.526142239570618,6.71760702133179,0
"72.117","Ho Municipal","Hohoe",0.526142239570618,6.71760702133179,0.466238558292389,7.03059482574463,22.037124891092
"72.118","Ho Municipal","Kadjebi",0.526142239570618,6.71760702133179,0.496497511863708,7.72158908843994,69.4771687111134
"72.119","Ho Municipal","Keta",0.526142239570618,6.71760702133179,0.853055775165558,5.90746402740479,60.3849057128763
"72.120","Ho Municipal","Kete Krachie",0.526142239570618,6.71760702133179,-0.0899035781621933,8.05344390869141,101.579853375588
"72.121","Ho Municipal","Ketu (Denu)",0.526142239570618,6.71760702133179,1.03270864486694,6.11122751235962,54.5274489118499
"72.122","Ho Municipal","Kpando",0.526142239570618,6.71760702133179,0.267385125160217,6.89685153961182,21.6673497532202
"72.123","Ho Municipal","Nkwanta",0.526142239570618,6.71760702133179,0.40209686756134,8.32355308532715,111.410468402073
"72.124","Ho Municipal","North Tongu (Adidome)",0.526142239570618,6.71760702133179,0.407175898551941,6.13318634033203,41.2452510945423
"72.125","Ho Municipal","South Tongu (Sogakope)",0.526142239570618,6.71760702133179,0.645589470863342,5.96053743362427,53.008872152393
"72.126","Ho Municipal","Wassa Amenfi East (Wassa Akropong)",0.526142239570618,6.71760702133179,-2.02211833000183,5.83388614654541,185.704785341089
